Unnamed: 0,Event Title,Event Date,Player Name,Score,Round,Pars,Scores,Hole,Double_Eagle_or_Better,Eagle,Birdie,Par,Bogey,Double_Bogey,Worse_than_Double_Bogey,Hole_in_1,Score_Relative_to_Par,Cumulative_Score,Streak_of_3_Birdies_or_Better,Bogey_Free_Round,Under_70_All_Rounds,Overall_Cumulative_Score,Position_At_Hole,Cumulative_Score_Relative_to_Par,FPTS,Cumulative_FPTS,FPTS_Positions,Total_FPTS
655899,Wyndham Championship,2024-08-08,Aaron Rai,-18,1,4,4.0,1,0,0,0,1,0,0,0,0,0.0,4.0,0,0,0,4.0,24,0.0,0.5,0.5,4,4.5
655901,Wyndham Championship,2024-08-08,Aaron Rai,-18,1,4,4.0,2,0,0,0,1,0,0,0,0,0.0,8.0,0,0,0,8.0,50,0.0,0.5,1.0,1,2.0
655903,Wyndham Championship,2024-08-08,Aaron Rai,-18,1,3,3.0,3,0,0,0,1,0,0,0,0,0.0,11.0,0,0,0,11.0,60,0.0,0.5,1.5,0,1.5
655905,Wyndham Championship,2024-08-08,Aaron Rai,-18,1,4,5.0,4,0,0,0,0,1,0,0,0,1.0,16.0,0,0,0,16.0,112,1.0,-0.5,1.0,0,1.0
655907,Wyndham Championship,2024-08-08,Aaron Rai,-18,1,5,4.0,5,0,0,1,0,0,0,0,0,-1.0,20.0,0,0,0,20.0,89,0.0,3.0,4.0,0,4.0
655909,Wyndham Championship,2024-08-08,Aaron Rai,-18,1,4,4.0,6,0,0,0,1,0,0,0,0,0.0,24.0,0,0,0,24.0,92,0.0,0.5,4.5,0,4.5
655911,Wyndham Championship,2024-08-08,Aaron Rai,-18,1,3,2.0,7,0,0,1,0,0,0,0,0,-1.0,26.0,0,0,0,26.0,43,-1.0,3.0,7.5,1,8.5
655913,Wyndham Championship,2024-08-08,Aaron Rai,-18,1,4,4.0,8,0,0,0,1,0,0,0,0,0.0,30.0,0,0,0,30.0,48,-1.0,0.5,8.0,1,9.0
655915,Wyndham Championship,2024-08-08,Aaron Rai,-18,1,4,4.0,9,0,0,0,1,0,0,0,0,0.0,34.0,0,0,0,34.0,49,-1.0,0.5,8.5,1,9.5
655917,Wyndham Championship,2024-08-08,Aaron Rai,-18,1,4,4.0,10,0,0,0,1,0,0,0,0,0.0,38.0,0,0,0,38.0,54,-1.0,0.5,9.0,0,9.0
655919,Wyndham Championship,2024-08-08,Aaron Rai,-18,1,4,4.0,11,0,0,0,1,0,0,0,0,0.0,42.0,0,0,0,42.0,51,-1.0,0.5,9.5,0,9.5
655921,Wyndham Championship,2024-08-08,Aaron Rai,-18,1,3,2.0,12,0,0,1,0,0,0,0,0,-1.0,44.0,0,0,0,44.0,27,-2.0,3.0,12.5,3,15.5
655923,Wyndham Championship,2024-08-08,Aaron Rai,-18,1,4,3.0,13,0,0,1,0,0,0,0,0,-1.0,47.0,0,0,0,47.0,14,-3.0,3.0,15.5,6,21.5
655925,Wyndham Championship,2024-08-08,Aaron Rai,-18,1,4,4.0,14,0,0,0,1,0,0,0,0,0.0,51.0,0,0,0,51.0,13,-3.0,0.5,16.0,6,22.0
655927,Wyndham Championship,2024-08-08,Aaron Rai,-18,1,5,3.0,15,0,1,0,0,0,0,0,0,-2.0,54.0,0,0,0,54.0,6,-5.0,8.0,24.0,12,36.0
